segmento,assetid,cif,canal_venta,product_name,migrado,deactivation_date,rfb__c,purchase_date__c,Family,Velocity,isNeba,isSold,isAsset,Bajas__c,assets_act
3-NOTRIAL,02i0N00000HfjEYQAZ,B83479063,Venta Web,X Music4B,,2019-05-25 10:48:29,,2018-09-14 00:00:01,X Music,,0,1,0,-1,-1
3-NOTRIAL,02i0N00000HfjEZQAZ,B83479063,Venta Web,X Music4B,,2019-05-25 10:48:29,,2018-09-14 00:00:01,X Music,,0,1,0,-1,-1
3-NOTRIAL,02i0N00000KqDCzQAN,B88280359,integrador,X Protection,,2019-10-28 15:29:37,,2019-09-23 00:00:01,X Protection,,0,1,0,-1,-1
3-NOTRIAL,02i0N00000L2rIBQAZ,B67266890,dho,X Privacy 50,,2019-03-18 16:33:32,,2019-02-27 00:00:01,X Privacy,50 Mbps,0,1,0,-1,-1
3-NOTRIAL,02i0N00000L2rICQAZ,B67266890,dho,X Privacy 50,,2019-03-18 16:32:54,,2019-02-27 00:00:01,X Privacy,50 Mbps,0,1,0,-1,-1
3-NOTRIAL,02i0N00000LGrVPQA1,B55288112,dho,X Privacy 50,,2019-04-25 06:29:36,,2019-03-12 00:00:01,X Privacy,50 Mbps,0,1,0,-1,-1
3-NOTRIAL,02i0N00000LGrVQQA1,B55288112,dho,X Privacy 50,,2019-04-25 06:30:06,,2019-03-12 00:00:01,X Privacy,50 Mbps,0,1,0,-1,-1
3-NOTRIAL,02i0N00000LJWycQAH,B43335025,dho,X Privacy 50,,2019-05-10 10:28:00,,2019-04-09 00:00:01,X Privacy,50 Mbps,0,1,0,-1,-1
